"step","run-rank0-clicks - _step","run-rank0-clicks - _step__MIN","run-rank0-clicks - _step__MAX","run-rank0-clicks - Click loss","run-rank0-clicks - Click loss__MIN","run-rank0-clicks - Click loss__MAX"
"1842","9206","9206","9206","0.22647197544574738","0.22647197544574738","0.22647197544574738"
"1854","9266","9266","9266","0.3998972475528717","0.3998972475528717","0.3998972475528717"
"1872","9356","9356","9356","0.11544680595397949","0.11544680595397949","0.11544680595397949"
"1873","9361","9361","9361","0.12030057609081268","0.12030057609081268","0.12030057609081268"
"1877","9381","9381","9381","0.5275620222091675","0.5275620222091675","0.5275620222091675"
"1914","9566","9566","9566","0.18694892525672913","0.18694892525672913","0.18694892525672913"
"1917","9581","9581","9581","0.2180529236793518","0.2180529236793518","0.2180529236793518"
"1920","9596","9596","9596","0.24164074659347534","0.24164074659347534","0.24164074659347534"
"1922","9606","9606","9606","0.3431206941604614","0.3431206941604614","0.3431206941604614"
"1934","9666","9666","9666","0.20897117257118225","0.20897117257118225","0.20897117257118225"
"1938","9686","9686","9686","0.16860628128051758","0.16860628128051758","0.16860628128051758"
"1946","9726","9726","9726","0.31664231419563293","0.31664231419563293","0.31664231419563293"
"1955","9771","9771","9771","0.2672347128391266","0.2672347128391266","0.2672347128391266"
"1960","9796","9796","9796","0.39540594816207886","0.39540594816207886","0.39540594816207886"
"1980","9896","9896","9896","0.202900230884552","0.202900230884552","0.202900230884552"
"1981","9901","9901","9901","0.22383329272270203","0.22383329272270203","0.22383329272270203"
"1996","9976","9976","9976","0.3219447135925293","0.3219447135925293","0.3219447135925293"
"2002","10006","10006","10006","0.19193318486213684","0.19193318486213684","0.19193318486213684"
"2076","10376","10376","10376","0.17776212096214294","0.17776212096214294","0.17776212096214294"
"2078","10386","10386","10386","0.3889278769493103","0.3889278769493103","0.3889278769493103"
"2092","10456","10456","10456","0.21823114156723022","0.21823114156723022","0.21823114156723022"
"2109","10541","10541","10541","0.2633723318576813","0.2633723318576813","0.2633723318576813"
"2114","10566","10566","10566","0.1564635932445526","0.1564635932445526","0.1564635932445526"
"2120","10596","10596","10596","0.18116995692253113","0.18116995692253113","0.18116995692253113"
"2135","10671","10671","10671","0.17312736809253693","0.17312736809253693","0.17312736809253693"
"2146","10726","10726","10726","0.07342559099197388","0.07342559099197388","0.07342559099197388"
