"step","run-rank0-clicks - _step","run-rank0-clicks - _step__MIN","run-rank0-clicks - _step__MAX","run-rank0-clicks - MLM loss","run-rank0-clicks - MLM loss__MIN","run-rank0-clicks - MLM loss__MAX"
"2146","10729","10729","10729","5.018863201141357","5.018863201141357","5.018863201141357"
"2154","10769","10769","10769","5.468422889709473","5.468422889709473","5.468422889709473"
"2185","10924","10924","10924","5.455287456512451","5.455287456512451","5.455287456512451"
"2205","11024","11024","11024","5.237242221832275","5.237242221832275","5.237242221832275"
"2206","11029","11029","11029","4.938858509063721","4.938858509063721","4.938858509063721"
"2224","11119","11119","11119","5.614824295043945","5.614824295043945","5.614824295043945"
"2237","11184","11184","11184","4.90895938873291","4.90895938873291","4.90895938873291"
"2241","11204","11204","11204","4.905148983001709","4.905148983001709","4.905148983001709"
"2254","11269","11269","11269","4.917569160461426","4.917569160461426","4.917569160461426"
"2258","11289","11289","11289","4.773013114929199","4.773013114929199","4.773013114929199"
"2273","11364","11364","11364","5.20717716217041","5.20717716217041","5.20717716217041"
"2309","11544","11544","11544","4.6024250984191895","4.6024250984191895","4.6024250984191895"
"2321","11604","11604","11604","4.892016887664795","4.892016887664795","4.892016887664795"
"2341","11704","11704","11704","5.176667213439941","5.176667213439941","5.176667213439941"
"2349","11744","11744","11744","4.6996893882751465","4.6996893882751465","4.6996893882751465"
"2351","11754","11754","11754","4.740472316741943","4.740472316741943","4.740472316741943"
"2352","11759","11759","11759","5.106106758117676","5.106106758117676","5.106106758117676"
"2356","11779","11779","11779","4.743741512298584","4.743741512298584","4.743741512298584"
"2359","11794","11794","11794","4.858843803405762","4.858843803405762","4.858843803405762"
"2378","11889","11889","11889","4.664165019989014","4.664165019989014","4.664165019989014"
"2379","11894","11894","11894","5.0470404624938965","5.0470404624938965","5.0470404624938965"
"2387","11934","11934","11934","4.378729820251465","4.378729820251465","4.378729820251465"
"2390","11949","11949","11949","4.981215000152588","4.981215000152588","4.981215000152588"
"2391","11954","11954","11954","5.154565334320068","5.154565334320068","5.154565334320068"
"2392","11959","11959","11959","4.801952362060547","4.801952362060547","4.801952362060547"
"2408","12039","12039","12039","4.048974514007568","4.048974514007568","4.048974514007568"
"2421","12104","12104","12104","5.009370803833008","5.009370803833008","5.009370803833008"
"2422","12109","12109","12109","4.684337139129639","4.684337139129639","4.684337139129639"
"2437","12184","12184","12184","4.831028938293457","4.831028938293457","4.831028938293457"
"2447","12234","12234","12234","4.658774375915527","4.658774375915527","4.658774375915527"
"2466","12329","12329","12329","4.915459632873535","4.915459632873535","4.915459632873535"
"2472","12359","12359","12359","4.7664642333984375","4.7664642333984375","4.7664642333984375"
"2503","12514","12514","12514","4.650585651397705","4.650585651397705","4.650585651397705"
"2528","12639","12639","12639","5.077907085418701","5.077907085418701","5.077907085418701"
"2533","12664","12664","12664","4.7552666664123535","4.7552666664123535","4.7552666664123535"
"2536","12679","12679","12679","4.878563404083252","4.878563404083252","4.878563404083252"
"2541","12704","12704","12704","4.524904251098633","4.524904251098633","4.524904251098633"
"2557","12784","12784","12784","4.613324165344238","4.613324165344238","4.613324165344238"
"2592","12959","12959","12959","4.651156902313232","4.651156902313232","4.651156902313232"
"2607","13034","13034","13034","5.601176738739014","5.601176738739014","5.601176738739014"
"2609","13044","13044","13044","4.2045793533325195","4.2045793533325195","4.2045793533325195"
"2616","13079","13079","13079","4.258339881896973","4.258339881896973","4.258339881896973"
"2619","13094","13094","13094","5.516778945922852","5.516778945922852","5.516778945922852"
"2629","13144","13144","13144","4.902247905731201","4.902247905731201","4.902247905731201"
"2635","13174","13174","13174","4.77762508392334","4.77762508392334","4.77762508392334"
"2670","13349","13349","13349","4.9108195304870605","4.9108195304870605","4.9108195304870605"
"2708","13539","13539","13539","4.318493843078613","4.318493843078613","4.318493843078613"
"2725","13624","13624","13624","4.621431827545166","4.621431827545166","4.621431827545166"
"2726","13629","13629","13629","4.205338478088379","4.205338478088379","4.205338478088379"
"2728","13639","13639","13639","5.184351921081543","5.184351921081543","5.184351921081543"
"2746","13729","13729","13729","4.467249393463135","4.467249393463135","4.467249393463135"
"2770","13849","13849","13849","4.709958553314209","4.709958553314209","4.709958553314209"
"2776","13879","13879","13879","4.738707065582275","4.738707065582275","4.738707065582275"
"2777","13884","13884","13884","5.0616326332092285","5.0616326332092285","5.0616326332092285"
"2779","13894","13894","13894","4.809028148651123","4.809028148651123","4.809028148651123"
"2792","13959","13959","13959","4.9061970710754395","4.9061970710754395","4.9061970710754395"
"2829","14144","14144","14144","4.659820079803467","4.659820079803467","4.659820079803467"
"2836","14179","14179","14179","4.529722213745117","4.529722213745117","4.529722213745117"
"2867","14334","14334","14334","4.749553203582764","4.749553203582764","4.749553203582764"
"2876","14379","14379","14379","4.98889684677124","4.98889684677124","4.98889684677124"
"2905","14524","14524","14524","4.910628795623779","4.910628795623779","4.910628795623779"
"2910","14549","14549","14549","4.985920429229736","4.985920429229736","4.985920429229736"
"2924","14619","14619","14619","4.657818794250488","4.657818794250488","4.657818794250488"
"2939","14694","14694","14694","4.548418998718262","4.548418998718262","4.548418998718262"
"2969","14844","14844","14844","4.71719217300415","4.71719217300415","4.71719217300415"
"2988","14939","14939","14939","4.699416160583496","4.699416160583496","4.699416160583496"
"3006","15029","15029","15029","4.5207600593566895","4.5207600593566895","4.5207600593566895"
"3015","15074","15074","15074","5.038917541503906","5.038917541503906","5.038917541503906"
"3016","15079","15079","15079","4.671825408935547","4.671825408935547","4.671825408935547"
"3019","15094","15094","15094","4.824949264526367","4.824949264526367","4.824949264526367"
"3031","15154","15154","15154","5.009671211242676","5.009671211242676","5.009671211242676"
"3043","15214","15214","15214","4.13238000869751","4.13238000869751","4.13238000869751"
"3067","15334","15334","15334","4.78813362121582","4.78813362121582","4.78813362121582"
"3075","15374","15374","15374","4.846858978271484","4.846858978271484","4.846858978271484"
"3078","15389","15389","15389","4.225159645080566","4.225159645080566","4.225159645080566"
"3083","15414","15414","15414","4.307985782623291","4.307985782623291","4.307985782623291"
"3101","15504","15504","15504","4.6243462562561035","4.6243462562561035","4.6243462562561035"
"3108","15539","15539","15539","4.6559553146362305","4.6559553146362305","4.6559553146362305"
"3121","15604","15604","15604","4.175063133239746","4.175063133239746","4.175063133239746"
"3124","15619","15619","15619","4.352883338928223","4.352883338928223","4.352883338928223"
