"step","run-multi-task-without-debiasing - _step","run-multi-task-without-debiasing - _step__MIN","run-multi-task-without-debiasing - _step__MAX","run-multi-task-without-debiasing - Total loss","run-multi-task-without-debiasing - Total loss__MIN","run-multi-task-without-debiasing - Total loss__MAX"
"1701","8500","8500","8500","7.286561012268066","7.286561012268066","7.286561012268066"
"1720","8595","8595","8595","7.93759298324585","7.93759298324585","7.93759298324585"
"1726","8625","8625","8625","8.138887405395508","8.138887405395508","8.138887405395508"
"1730","8645","8645","8645","6.558988094329834","6.558988094329834","6.558988094329834"
"1732","8655","8655","8655","6.343961715698242","6.343961715698242","6.343961715698242"
"1761","8800","8800","8800","6.7763566970825195","6.7763566970825195","6.7763566970825195"
"1771","8850","8850","8850","5.707637786865234","5.707637786865234","5.707637786865234"
"1774","8865","8865","8865","6.177823066711426","6.177823066711426","6.177823066711426"
"1787","8930","8930","8930","6.4208197593688965","6.4208197593688965","6.4208197593688965"
"1793","8960","8960","8960","5.546518325805664","5.546518325805664","5.546518325805664"
"1798","8985","8985","8985","7.129628658294678","7.129628658294678","7.129628658294678"
"1825","9120","9120","9120","6.282717227935791","6.282717227935791","6.282717227935791"
"1827","9130","9130","9130","8.708236694335938","8.708236694335938","8.708236694335938"
"1835","9170","9170","9170","5.976218223571777","5.976218223571777","5.976218223571777"
"1857","9280","9280","9280","6.270384788513184","6.270384788513184","6.270384788513184"
"1862","9305","9305","9305","5.559084892272949","5.559084892272949","5.559084892272949"
"1878","9385","9385","9385","6.623293876647949","6.623293876647949","6.623293876647949"
"1884","9415","9415","9415","6.935680389404297","6.935680389404297","6.935680389404297"
"1889","9440","9440","9440","7.797940254211426","7.797940254211426","7.797940254211426"
"1918","9585","9585","9585","6.281061172485352","6.281061172485352","6.281061172485352"
"1932","9655","9655","9655","6.374564170837402","6.374564170837402","6.374564170837402"
"1933","9660","9660","9660","6.355219841003418","6.355219841003418","6.355219841003418"
"1951","9750","9750","9750","7.202737808227539","7.202737808227539","7.202737808227539"
"1956","9775","9775","9775","6.906092643737793","6.906092643737793","6.906092643737793"
"1971","9850","9850","9850","9.03614616394043","9.03614616394043","9.03614616394043"
"1973","9860","9860","9860","8.598339080810547","8.598339080810547","8.598339080810547"
"1984","9915","9915","9915","6.8995442390441895","6.8995442390441895","6.8995442390441895"
"1986","9925","9925","9925","6.261801242828369","6.261801242828369","6.261801242828369"
"1988","9935","9935","9935","6.738495826721191","6.738495826721191","6.738495826721191"
"1991","9950","9950","9950","7.37464714050293","7.37464714050293","7.37464714050293"
"1996","9975","9975","9975","6.320026397705078","6.320026397705078","6.320026397705078"
